[11-Apr-2016 06:38:42 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:42 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:42 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:49 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:50 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:38:50 UTC] PHP Fatal error:  Can't use function return value in write context in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:39:45 UTC] PHP Warning:  opendir(upload/uploads): failed to open dir: No such file or directory in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:39:45 UTC] PHP Stack trace:
[11-Apr-2016 06:39:45 UTC] PHP   1. {main}() /home/ubuntu/workspace/galerija/slideshow/test.php:0
[11-Apr-2016 06:39:45 UTC] PHP   2. opendir() /home/ubuntu/workspace/galerija/slideshow/test.php:14
[11-Apr-2016 06:39:57 UTC] PHP Warning:  opendir(./upload/uploads): failed to open dir: No such file or directory in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:39:57 UTC] PHP Stack trace:
[11-Apr-2016 06:39:57 UTC] PHP   1. {main}() /home/ubuntu/workspace/galerija/slideshow/test.php:0
[11-Apr-2016 06:39:57 UTC] PHP   2. opendir() /home/ubuntu/workspace/galerija/slideshow/test.php:14
[11-Apr-2016 06:39:57 UTC] PHP Warning:  opendir(./upload/uploads): failed to open dir: No such file or directory in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:39:57 UTC] PHP Stack trace:
[11-Apr-2016 06:39:57 UTC] PHP   1. {main}() /home/ubuntu/workspace/galerija/slideshow/test.php:0
[11-Apr-2016 06:39:57 UTC] PHP   2. opendir() /home/ubuntu/workspace/galerija/slideshow/test.php:14
[11-Apr-2016 06:40:20 UTC] PHP Parse error:  syntax error, unexpected '"<br>"' (T_CONSTANT_ENCAPSED_STRING), expecting ',' or ';' in /home/ubuntu/workspace/galerija/slideshow/test.php on line 18
[11-Apr-2016 06:40:33 UTC] PHP Parse error:  syntax error, unexpected 'echo' (T_ECHO), expecting ',' or ';' in /home/ubuntu/workspace/galerija/slideshow/test.php on line 19
[11-Apr-2016 06:41:16 UTC] PHP Warning:  opendir(.~/upload/uploads): failed to open dir: No such file or directory in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:41:16 UTC] PHP Stack trace:
[11-Apr-2016 06:41:16 UTC] PHP   1. {main}() /home/ubuntu/workspace/galerija/slideshow/test.php:0
[11-Apr-2016 06:41:16 UTC] PHP   2. opendir() /home/ubuntu/workspace/galerija/slideshow/test.php:14
[11-Apr-2016 06:43:02 UTC] PHP Warning:  opendir(../../upload/uploads): failed to open dir: No such file or directory in /home/ubuntu/workspace/galerija/slideshow/test.php on line 14
[11-Apr-2016 06:43:02 UTC] PHP Stack trace:
[11-Apr-2016 06:43:02 UTC] PHP   1. {main}() /home/ubuntu/workspace/galerija/slideshow/test.php:0
[11-Apr-2016 06:43:02 UTC] PHP   2. opendir() /home/ubuntu/workspace/galerija/slideshow/test.php:14
[11-Apr-2016 06:47:30 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 149
[11-Apr-2016 06:47:42 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 149
[11-Apr-2016 07:18:48 UTC] PHP Parse error:  syntax error, unexpected '?>' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 79
[11-Apr-2016 07:19:12 UTC] PHP Parse error:  syntax error, unexpected '?>' in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 79
[11-Apr-2016 07:20:12 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 155
[11-Apr-2016 07:20:13 UTC] PHP Parse error:  syntax error, unexpected end of file in /home/ubuntu/workspace/galerija/slideshow/demo.php on line 155
